subject,local_oracle_accuracy,pooled_transfer_accuracy,gap_local_minus_pooled_pp,unpruned_accuracy,n_test
19,0.369448777951118,0.369448777951118,0.0,0.369448777951118,76920
20,0.6838876832454936,0.6838876832454936,0.0,0.6838876832454936,90316
21,0.5997828498595605,0.5997828498595605,0.0,0.5997828498595605,84734
22,0.4009916148483135,0.4009916148483135,0.0,0.4009916148483135,84912
23,0.6930131057903319,0.6930131057903319,0.0,0.6930131057903319,81567
24,0.5490520577283458,0.5490520577283458,0.0,0.5490520577283458,82178
25,0.701760320893088,0.701760320893088,0.0,0.701760320893088,82769
26,0.5916562158123649,0.5916562158123649,0.0,0.5916562158123649,74954
27,0.644480931213541,0.644480931213541,0.0,0.644480931213541,74913
28,0.6170830490513449,0.6170830490513449,0.0,0.6170830490513449,68887
29,0.6513321444012106,0.6513321444012106,0.0,0.6513321444012106,74016
30,0.5445172270487424,0.5445172270487424,0.0,0.5445172270487424,101062
31,0.6193435984366907,0.6193435984366907,0.0,0.6193435984366907,63711
32,0.5282654006484484,0.5282654006484484,0.0,0.5282654006484484,86360
33,0.6063675283836177,0.6063675283836177,0.0,0.6063675283836177,79183
34,0.7317971653271109,0.7317971653271109,0.0,0.7317971653271109,92568
35,0.5622669010159901,0.5622669010159901,0.0,0.5622669010159901,69981
36,0.6820504253156803,0.6820504253156803,0.0,0.6820504253156803,71829
