item_mem_seed,spatial_mean_full_width_accuracy,spatial_mean_active_bit_support,spatial_mean_informed_accuracy_at_gap,spatial_mean_random_accuracy_at_gap,spatial_mean_gap_pp_at_gap
1,0.7337212338390151,203.0,0.7337212338390151,0.6565744144825927,7.714681935642247
7,0.7242220397606898,209.8,0.7241539546543068,0.6362273537687063,8.792660088560062
21,0.7221934612203379,208.6,0.7221934612203379,0.6667064089592106,5.548705226112732
42,0.7264893417111118,209.4,0.7264893417111118,0.6470880352904329,7.940130642067895
