subject,informed_accuracy,random_accuracy_mean,random_accuracy_std,gap_pp_mean,unpruned_accuracy,n_keep,n_test
1,0.9333751399776036,0.9120540500186638,0.03355751019741836,2.1321089958939776,0.9439014557670773,128,111625
2,0.871637614634941,0.8113949766657403,0.05254655376492314,6.024263796920071,0.8809521527890909,128,104353
3,0.9248027756779283,0.8780284674975609,0.030366071544512704,4.677430818036743,0.8934988660812933,128,103182
4,0.8753684753803856,0.8440264806010739,0.0441165736420648,3.1341994779311766,0.8807380425396762,128,100753
5,0.8453375725213658,0.8640719756156108,0.020791864524871605,-1.8734403094245011,0.8738569817524695,128,73599
