engine,mode,spatial_mean_accuracy,pooled_accuracy,spatial_std_accuracy
hdc_ref,native_D128_full,0.6807978508890422,0.6813471607579957,0.08742798703162404
hdc_ref,native_D256_full,0.6975587036148749,0.6981714730340903,0.04580922922063244
hdc_ref,native_D1024_full,0.7264893417111118,0.7278485629528765,0.06109051331849486
hdc_ref,d1024_fisher_k128_masked,0.7264893417111118,0.7278485629528765,0.06109051331849486
hdc_ref,d1024_option_e_k128_gather,0.7264893417111118,0.7278485629528765,0.06109051331849486
stage_b,native_D128_full,0.8481388037754781,0.8473370455024397,0.05174794766339402
stage_b,native_D256_full,0.8998967867438438,0.9029283989041806,0.03303668911291647
stage_b,native_D1024_full,0.8945894997859213,0.8967117314269967,0.025457949208563736
stage_b,d1024_fisher_k128_masked,0.8901043156384448,0.8935567929452577,0.03358146122930436
stage_b,d1024_option_e_k128_gather,0.8901043156384448,0.8935567929452577,0.03358146122930436
