subject,informed_accuracy,random_accuracy_mean,random_accuracy_std,gap_pp_mean,unpruned_accuracy,n_keep,n_test
1,0.9439014557670773,0.9455375886524824,0.007770929592375799,-0.1636132885405095,0.9439014557670773,512,111625
2,0.8809521527890909,0.8704330493613026,0.016406588914607223,1.051910342778828,0.8809521527890909,512,104353
3,0.8934988660812933,0.8875511232579325,0.011267833068934429,0.5947742823360747,0.8934988660812933,512,103182
4,0.8807380425396762,0.8707899516639704,0.01268736862250798,0.9948090875705806,0.8807380425396762,512,100753
5,0.8738569817524695,0.8738596991806953,0.012012400821774396,-0.0002717428225773588,0.8738569817524695,512,73599
