subject,local_oracle_accuracy,pooled_transfer_accuracy,gap_local_minus_pooled_pp,unpruned_accuracy,n_test
19,0.3804968895649291,0.3804968895649291,0.0,0.3804968895649291,102558
20,0.6989129441856217,0.6989129441856217,0.0,0.6989129441856217,120417
21,0.6184356107880365,0.6184356107880365,0.0,0.6184356107880365,112977
22,0.4223594255127458,0.4223594255127458,0.0,0.4223594255127458,113214
23,0.6937152314836099,0.6937152314836099,0.0,0.6937152314836099,108755
24,0.5459482152798693,0.5459482152798693,0.0,0.5459482152798693,109569
25,0.7105096234006307,0.7105096234006307,0.0,0.7105096234006307,110356
26,0.6101443909663088,0.6101443909663088,0.0,0.6101443909663088,99937
27,0.6519157797779357,0.6519157797779357,0.0,0.6519157797779357,99881
28,0.6360073164358505,0.6360073164358505,0.0,0.6360073164358505,91848
29,0.6640928205907686,0.6640928205907686,0.0,0.6640928205907686,98685
30,0.5453850549548412,0.5453850549548412,0.0,0.5453850549548412,134747
31,0.6187931156263979,0.6187931156263979,0.0,0.6187931156263979,84946
32,0.5396633780309873,0.5396633780309873,0.0,0.5396633780309873,115144
33,0.6147004499171206,0.6147004499171206,0.0,0.6147004499171206,105575
34,0.7261811199066609,0.7261811199066609,0.0,0.7261811199066609,123421
35,0.574267188253577,0.574267188253577,0.0,0.574267188253577,93305
36,0.6818803579446376,0.6818803579446376,0.0,0.6818803579446376,95769
