method,ranking_cost,requires_retraining,n_subjects,spatial_mean_accuracy,spatial_std_accuracy,spatial_mean_gap_pp_vs_fisher,spatial_mean_jaccard_vs_fisher
fisher,low,False,5,0.7264893417111118,0.06109051331849486,0.0,1.0
variance,low,False,5,0.7264893417111118,0.06109051331849486,0.0,0.8060276445299405
mutual_information,medium,False,5,0.7264893417111118,0.06109051331849486,0.0,0.9462872641186566
class_mean_separation,low,False,5,0.7264893417111118,0.06109051331849486,0.0,0.9072679917884198
prototype_disagreement,low,False,5,0.7264893417111118,0.06109051331849486,0.0,0.18435449561234804
entropy,low,False,5,0.7264893417111118,0.06109051331849486,0.0,0.8060276445299405
random_full,low,False,5,0.6470880352904329,0.048159575709389155,-7.940130642067895,0.06761173964902949
random_active,low,False,5,0.7161104091183464,0.066083102723469,-1.0378932592765389,0.4539389223336512
