subject,informed_accuracy,random_accuracy_mean,random_accuracy_std,gap_pp_mean,unpruned_accuracy,n_keep,n_test
1,0.9439014557670773,0.9329905188503175,0.022236940533077666,1.0910936916759817,0.9439014557670773,256,111625
2,0.8809521527890909,0.8517589336195415,0.02975244027996878,2.9193219169549423,0.8809521527890909,256,104353
3,0.8934988660812933,0.8926178984706635,0.02541677493054902,0.08809676106297237,0.8934988660812933,256,103182
4,0.8807380425396762,0.8676744116800494,0.019889309558893488,1.3063630859626807,0.8807380425396762,256,100753
5,0.8677563553852634,0.8709112895555645,0.012352245487199955,-0.31549341703011047,0.8738569817524695,256,73599
