subject,informed_accuracy,random_accuracy_mean,random_accuracy_std,gap_pp_mean,unpruned_accuracy,n_keep,n_test
1,0.7690481522956327,0.693520268756999,0.023062166259389564,7.552788353863371,0.7690481522956327,128,111625
2,0.7003440246087799,0.5793163588972046,0.031113661138077474,12.102766571157531,0.7003440246087799,128,104353
3,0.809763330813514,0.6981198271016262,0.026737458382312958,11.16435037118878,0.809763330813514,128,103182
4,0.6304824670233145,0.6022192887556698,0.02084599667354208,2.8263178267644684,0.6304824670233145,128,100753
5,0.7228087338143181,0.6622644329406648,0.0281974473776632,6.054430087365326,0.7228087338143181,128,73599
