method,ranking_cost,requires_retraining,n_subjects,spatial_mean_accuracy,spatial_std_accuracy,spatial_mean_gap_pp_vs_fisher,spatial_mean_jaccard_vs_fisher,spatial_mean_prediction_agreement_vs_fisher
fisher,low,False,5,0.9047866666666667,0.029800026845625483,0.0,1.0,1.0
variance,low,False,5,0.9175733333333334,0.035808790975277456,1.278666666666668,0.5577157620643197,0.9169466666666667
mutual_information,medium,False,5,0.9276933333333334,0.012029268011350031,2.2906666666666653,0.7132911920803258,0.94032
class_mean_separation,low,False,5,0.9240133333333332,0.020919800296476165,1.9226666666666659,0.7549966158557087,0.9493199999999999
prototype_disagreement,low,False,5,0.8991466666666665,0.04014355130168619,-0.5639999999999977,0.5858044154591976,0.9336800000000001
entropy,low,False,5,0.9175733333333334,0.035808790975277456,1.278666666666668,0.5577157620643197,0.9169466666666667
random_full,low,False,5,0.8374800000000002,0.060461215777830125,-6.730666666666659,0.06269200430911782,0.839696
random_active,low,False,5,0.8871653333333335,0.031800222612777755,-1.7621333333333333,0.23773419808140955,0.907672
