t_s,bus_v,shunt_mv,current_ma,power_mw
0.0003089399997406872,12.884,2.003338898163606,200.33388981636057,2581.1018363939897
0.010375508998549776,12.876,2.003338898163606,200.33388981636057,2579.4991652754584
0.020438595998712117,12.884,2.003338898163606,200.33388981636057,2581.1018363939897
0.03049994299908576,12.872,1.8363939899833053,200.33388981636057,2578.697829716193
0.04056130800017854,12.884,2.003338898163606,200.33388981636057,2581.1018363939897
0.05062232199998107,12.88,2.003338898163606,183.63939899833053,2365.2754590984973
0.06068353899900103,12.852,2.003338898163606,200.33388981636057,2574.691151919866
0.07074434899914195,12.86,2.003338898163606,200.33388981636057,2576.2938230383966
0.08080552899991744,12.864,2.003338898163606,200.33388981636057,2577.0951585976627
0.09086954299891659,12.868,2.003338898163606,200.33388981636057,2577.896494156928
0.10093427899846574,12.864,2.003338898163606,200.33388981636057,2577.0951585976627
0.11099492199900851,12.864,2.003338898163606,200.33388981636057,2577.0951585976627
0.12105612099912832,12.864,2.003338898163606,200.33388981636057,2577.0951585976627
0.1311170230001153,12.868,2.003338898163606,200.33388981636057,2577.896494156928
0.14117811100004474,12.86,2.003338898163606,200.33388981636057,2576.2938230383966
0.15124247599851515,12.872,2.003338898163606,200.33388981636057,2578.697829716193
0.16130510099901585,12.864,2.003338898163606,200.33388981636057,2577.0951585976627
0.17136657699848,12.868,2.003338898163606,217.02838063439066,2792.721202003339
0.1814268499983882,12.864,2.003338898163606,200.33388981636057,2577.0951585976627
0.1914876409991848,12.868,2.003338898163606,200.33388981636057,2577.896494156928
0.2015485069987335,12.864,2.003338898163606,200.33388981636057,2577.0951585976627
0.21160914999927627,12.868,2.003338898163606,200.33388981636057,2577.896494156928
0.22166986699994595,12.868,2.003338898163606,200.33388981636057,2577.896494156928
0.23173093699915626,12.864,2.003338898163606,200.33388981636057,2577.0951585976627
0.24179191299845115,12.868,2.003338898163606,200.33388981636057,2577.896494156928
0.2518525010000303,12.864,2.1702838063439063,183.63939899833053,2362.337228714524
0.26191258799917705,12.868,2.003338898163606,200.33388981636057,2577.896494156928
0.27197286099908524,12.868,2.003338898163606,200.33388981636057,2577.896494156928
0.2820331709990569,12.864,2.003338898163606,200.33388981636057,2577.0951585976627
0.2920935369984363,12.868,2.1702838063439063,217.02838063439066,2792.721202003339
0.3021537349995924,12.868,2.003338898163606,200.33388981636057,2577.896494156928
0.3122137299997121,12.872,2.003338898163606,200.33388981636057,2578.697829716193
0.3222739479988377,12.868,2.003338898163606,200.33388981636057,2577.896494156928
0.332334868999169,12.868,2.003338898163606,200.33388981636057,2577.896494156928
0.34239564099880226,12.86,2.003338898163606,200.33388981636057,2576.2938230383966
0.352455876998647,12.872,2.003338898163606,200.33388981636057,2578.697829716193
0.36251664999872446,12.86,2.003338898163606,200.33388981636057,2576.2938230383966
0.37257692299863265,12.868,2.003338898163606,200.33388981636057,2577.896494156928
0.3826369549988158,12.864,2.003338898163606,200.33388981636057,2577.0951585976627
0.39269689499997185,12.868,2.003338898163606,200.33388981636057,2577.896494156928
0.40275755599941476,12.864,2.1702838063439063,217.02838063439066,2791.8530884808015
0.41281834799883654,12.872,2.003338898163606,200.33388981636057,2578.697829716193
0.4228791759996966,12.864,2.1702838063439063,200.33388981636057,2577.0951585976627
0.43293955999979516,12.868,2.003338898163606,200.33388981636057,2577.896494156928
0.44300029599980917,12.864,2.003338898163606,200.33388981636057,2577.0951585976627
0.45306101299865986,12.86,2.003338898163606,183.63939899833053,2361.6026711185305
0.4631216379984835,12.864,2.003338898163606,200.33388981636057,2577.0951585976627
0.4731826139995974,12.864,2.003338898163606,200.33388981636057,2577.0951585976627
0.48324340599901916,12.864,2.003338898163606,200.33388981636057,2577.0951585976627
0.49330373399970995,12.872,2.003338898163606,200.33388981636057,2578.697829716193
0.5033645439998509,12.864,2.003338898163606,200.33388981636057,2577.0951585976627
0.5134255949997168,12.872,2.003338898163606,200.33388981636057,2578.697829716193
0.5234863119985675,12.864,2.003338898163606,200.33388981636057,2577.0951585976627
0.5335473439990892,12.872,2.003338898163606,200.33388981636057,2578.697829716193
0.5436075239995262,12.86,2.003338898163606,200.33388981636057,2576.2938230383966
0.5536675379989902,12.868,2.003338898163606,200.33388981636057,2577.896494156928
0.5637286249984754,12.86,2.1702838063439063,200.33388981636057,2576.2938230383966
0.5737895829988702,12.868,2.003338898163606,200.33388981636057,2577.896494156928
0.5838504299990745,12.86,2.003338898163606,200.33388981636057,2576.2938230383966
0.5939111289990251,12.876,2.003338898163606,200.33388981636057,2579.4991652754584
0.603971531998468,12.86,2.003338898163606,200.33388981636057,2576.2938230383966
0.6140314339991164,12.876,2.003338898163606,200.33388981636057,2579.4991652754584
0.6240926699992997,12.864,2.003338898163606,200.33388981636057,2577.0951585976627
0.6341535539995675,12.872,2.003338898163606,200.33388981636057,2578.697829716193
0.6442146039989893,12.864,2.003338898163606,200.33388981636057,2577.0951585976627
0.6542753220001032,12.892,2.003338898163606,200.33388981636057,2582.70450751252
0.6643361499991443,12.884,2.003338898163606,200.33388981636057,2581.1018363939897
0.6743967189995601,12.888,2.003338898163606,200.33388981636057,2581.903171953255
0.684456806999151,12.876,2.003338898163606,183.63939899833053,2364.540901502504
0.6945171719999053,12.892,1.8363939899833053,200.33388981636057,2582.70450751252
0.7045780560001731,12.872,2.003338898163606,200.33388981636057,2578.697829716193
0.714638550998643,12.892,1.8363939899833053,183.63939899833053,2367.4791318864773
0.7246985459987627,12.868,2.003338898163606,200.33388981636057,2577.896494156928
0.7347589299988613,12.892,2.003338898163606,200.33388981636057,2582.70450751252
0.7448190179984522,12.868,2.003338898163606,183.63939899833053,2363.0717863105174
0.75487990199872,12.892,2.003338898163606,200.33388981636057,2582.70450751252
0.7649410269987129,12.864,2.003338898163606,183.63939899833053,2362.337228714524
0.7750017620001017,12.896,2.003338898163606,200.33388981636057,2583.505843071786
0.7850628689993755,12.836,2.003338898163606,200.33388981636057,2571.4858096828043
0.7951227519988606,12.872,2.003338898163606,200.33388981636057,2578.697829716193
0.8051830439999321,12.848,2.003338898163606,200.33388981636057,2573.889816360601
0.8152434650000941,12.88,2.003338898163606,200.33388981636057,2580.300500834724
0.8253047929993045,12.852,2.003338898163606,217.02838063439066,2789.2487479131887
0.8353640289988107,12.876,2.003338898163606,200.33388981636057,2579.4991652754584
0.8454257649991632,12.856,2.1702838063439063,200.33388981636057,2575.4924874791313
0.8554865930000233,12.88,2.003338898163606,200.33388981636057,2580.300500834724
0.8655475879986625,12.852,2.003338898163606,200.33388981636057,2574.691151919866
0.8756078239985072,12.876,2.003338898163606,200.33388981636057,2579.4991652754584
0.8856683750000229,12.852,2.003338898163606,200.33388981636057,2574.691151919866
0.8957290729995293,12.876,2.003338898163606,200.33388981636057,2579.4991652754584
0.9057897719994799,12.856,2.003338898163606,200.33388981636057,2575.4924874791313
0.9158506009989651,12.88,2.003338898163606,200.33388981636057,2580.300500834724
0.9259118359987042,12.856,2.003338898163606,200.33388981636057,2575.4924874791313
0.9359721459986758,12.876,2.003338898163606,200.33388981636057,2579.4991652754584
0.9460330860001704,12.852,2.003338898163606,200.33388981636057,2574.691151919866
0.956093876999148,12.88,2.003338898163606,200.33388981636057,2580.300500834724
0.9661537049996696,12.848,2.003338898163606,200.33388981636057,2573.889816360601
0.9762132559990278,12.88,2.003338898163606,200.33388981636057,2580.300500834724
0.9862744549991476,12.848,2.1702838063439063,200.33388981636057,2573.889816360601
0.9963347459997749,12.88,2.003338898163606,200.33388981636057,2580.300500834724
1.006395888998668,12.852,2.003338898163606,200.33388981636057,2574.691151919866
1.0164569219996338,12.88,2.003338898163606,200.33388981636057,2580.300500834724
1.0265176389984845,12.852,2.003338898163606,200.33388981636057,2574.691151919866
1.0365783189990907,12.884,2.003338898163606,200.33388981636057,2581.1018363939897
1.0466391469999508,12.852,2.003338898163606,200.33388981636057,2574.691151919866
