subject,local_oracle_accuracy,pooled_transfer_accuracy,gap_local_minus_pooled_pp,unpruned_accuracy,n_test
19,0.641705668226729,0.5531721268850754,8.85335413416536,0.369448777951118,76920
20,0.6838876832454936,0.6838876832454936,0.0,0.6838876832454936,90316
21,0.5293152689593316,0.5293152689593316,0.0,0.5997828498595605,84734
22,0.4009916148483135,0.6381194648577351,-23.712785000942155,0.4009916148483135,84912
23,0.6930131057903319,0.6592126717912882,3.3800433999043755,0.6930131057903319,81567
24,0.5490520577283458,0.7301467546058555,-18.10946968775098,0.5490520577283458,82178
25,0.701760320893088,0.701760320893088,0.0,0.701760320893088,82769
26,0.5916562158123649,0.5916562158123649,0.0,0.5916562158123649,74954
27,0.644480931213541,0.7122395311895132,-6.775859997597222,0.644480931213541,74913
28,0.6170830490513449,0.6170830490513449,0.0,0.6170830490513449,68887
29,0.6513321444012106,0.6001945525291829,5.113759187202771,0.6513321444012106,74016
30,0.5445172270487424,0.5415487522510933,0.29684747976490566,0.5445172270487424,101062
31,0.6043697320713849,0.6043697320713849,0.0,0.6193435984366907,63711
32,0.5282654006484484,0.6447660954145438,-11.650069476609538,0.5282654006484484,86360
33,0.6063675283836177,0.5843678567369258,2.199967164669192,0.6063675283836177,79183
34,0.7317971653271109,0.7209510846080719,1.084608071903903,0.7317971653271109,92568
35,0.5622669010159901,0.633686286277704,-7.141938526171387,0.5622669010159901,69981
36,0.6820504253156803,0.6843336256943574,-0.22832003786771304,0.6820504253156803,71829
