subject,informed_accuracy,random_accuracy_mean,random_accuracy_std,gap_pp_mean,unpruned_accuracy,n_keep,n_test
1,0.7853202625797044,0.7690252702729942,0.01756469231061042,1.6294992306710276,0.7853202625797044,512,148831
2,0.7131994106443382,0.6773119632012075,0.02832477060039851,3.588744744313077,0.7131994106443382,512,139135
3,0.8225596592354605,0.8113801399984009,0.014103150849637286,1.117951923705962,0.8225596592354605,512,137573
4,0.6421036959839208,0.6407444076376223,0.01002026391184779,0.1359288346298504,0.6421036959839208,512,134335
5,0.7441149495567105,0.7236563741974931,0.008444109282282827,2.045857535921747,0.7441149495567105,512,98130
